Feature,Importance
ordinal__OverallQual,0.49581783442697513
numerical__GrLivArea,0.14201786692247823
numerical__2ndFlrSF,0.038761830846017274
numerical__GarageCars,0.03529642014685809
numerical__BsmtFinSF1,0.03524767161935729
numerical__TotalBsmtSF,0.028554152509859595
ordinal__BsmtQual,0.026297804118935595
ordinal__ExterQual,0.02267011041005148
numerical__LotArea,0.021160042044907224
numerical__1stFlrSF,0.020313949842145705
ordinal__KitchenQual,0.014488976289144686
numerical__YearBuilt,0.01246315592296726
ordinal__GarageFinish,0.01228028096511651
numerical__ScreenPorch,0.008161055518773514
numerical__GarageArea,0.007161179775454625
numerical__YearRemodAdd,0.006796670221812003
ordinal__OverallCond,0.005773743390177873
numerical__GarageYrBlt,0.004952625062472595
numerical__LotFrontage,0.004601360552645715
numerical__WoodDeckSF,0.0035145492428739168
categorical__Condition1_Norm,0.003033760984790886
categorical__CentralAir_Y,0.0030044679950253523
numerical__OpenPorchSF,0.0029945371856358103
ordinal__BsmtFinType1,0.002909742390870696
numerical__MoSold,0.0029092980618649856
numerical__BsmtUnfSF,0.002651278303162653
ordinal__BsmtExposure,0.0023655782236044125
categorical__MSZoning_RM,0.002211511649957404
categorical__GarageType_Detchd,0.002018765090012167
categorical__LandContour_Lvl,0.0016088772546905535
categorical__Neighborhood_Crawfor,0.0015029052492095381
ordinal__LandSlope,0.0014473146495943094
categorical__Neighborhood_Edwards,0.0013852169160538585
categorical__LandContour_Bnk,0.0013673388498669872
categorical__SaleCondition_Abnorml,0.001277161152479114
categorical__SaleType_New,0.0012552621065486484
categorical__CentralAir_N,0.0012405831288091222
numerical__MasVnrArea,0.0010879905627379422
numerical__BsmtFinSF2,0.0010567670201611001
categorical__Condition2_PosN,0.0009729136627930828
categorical__Exterior1st_BrkFace,0.000908132207722942
categorical__Functional_Typ,0.0008523384452089952
categorical__Neighborhood_StoneBr,0.0008276429680452184
categorical__SaleCondition_Family,0.0006315055894344199
